y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
-4.601226637,-2.162270032,-2.038088746,1.337590753,0.801991131,1.199027214,-0.234680717,0.144479756,-1.607650158,-1.142425487,0.872894687
-0.486041637,-0.040466275,-0.18180943,1.208188176,0.606058215,-0.513178296,-0.932183431,0.378869089,-1.153575204,-0.18852531,0.310686101
1.247802169,0.159910928,0.305389892,-0.121287087,-0.625840051,-0.36345535,0.141918323,1.104917168,0.841992446,0.23979122,0.389339909
4.650211593,0.316860391,0.213195923,0.489052076,0.280949236,1.265763472,1.002698674,-0.564270941,-0.482331105,-0.973812196,-0.237751009
0.929016529,-0.853209925,-0.845749273,-0.225188719,-0.815048351,1.265954235,1.188671047,2.088597258,0.13044396,0.79929406,-0.219628178
2.140997515,-0.500502912,-0.108342215,0.221842731,0.675603323,0.086830801,0.387295307,-0.186007906,0.675129133,-1.276181616,0.007105253
-7.860923039,-1.71824858,-1.524182774,-1.155220867,-1.010479074,1.669894353,0.968481097,-0.865566629,0.041882527,1.315240477,-2.269293428
-3.784446874,-1.020007174,-0.778646732,-0.6936032,-0.804948346,1.399742299,-0.69272264,0.493111867,1.004045764,-0.615205173,0.35016496
0.893637637,-0.558139365,-0.612441305,0.910905336,0.466938201,-0.208734883,0.257593814,-0.409814062,1.770207797,0.606560354,-0.190284346
5.809060635,0.704195845,0.568546453,0.750149149,0.387272014,-0.662371838,0.293009601,0.878148991,1.029978628,-1.827681447,-0.029855057
-10.37861953,-1.036332117,-1.120788735,-2.754107422,-2.071741556,-1.223536039,1.62229442,1.189822599,0.038727953,1.564855632,0.072526885
-4.152782035,-1.299313074,-1.055052945,0.200529737,-0.241793207,1.384105699,-1.117241447,-0.918401308,0.943901298,-0.263330391,0.485125032
-1.179271393,-1.689063608,-2.223370512,0.211876324,0.141124357,-0.341357004,0.803234443,3.574549035,0.186615072,-0.398939295,0.80946878
-8.861335867,-0.524452679,-0.456879445,-0.956710511,-0.742639976,-0.364016883,-0.071458242,-1.357996504,-0.644394917,0.643018153,0.437416126
0.073067466,0.212145004,0.186020242,0.87292776,0.051833704,-0.92702104,-0.449923386,-1.357131858,1.572196088,-0.31951302,1.488211544
9.308441507,0.310925705,0.609306868,0.343112663,0.763016939,1.495503339,0.647177475,0.74262006,1.123482364,0.551363786,0.875379179
4.552484363,-0.146261675,-0.34475994,1.089545561,0.866239902,1.742655142,0.490259985,-0.684905633,-0.206625701,0.206277572,-0.683497157
-13.29548968,-1.752082167,-1.714656016,-0.20774993,0.028909274,-1.41648055,-1.864775714,0.354128677,-1.202604473,-0.794490046,1.39354663
5.108865524,1.044241855,1.228419895,0.316344657,0.141563814,-0.647101764,0.19357216,-0.072336756,1.221376514,2.135327348,0.305962125
0.142933193,0.95723348,1.247053041,-0.552599804,-1.527117798,-0.742487527,-0.568137085,-0.059070765,0.057913157,0.384771968,-1.128165463
-5.09219193,-0.454639021,-0.48994035,-1.356474523,-1.780645511,0.672762964,-0.046208384,0.41919187,-0.18069847,-0.041324232,-0.49563348
-6.202013847,-0.799301615,-0.870753405,-0.103740357,-1.007946005,1.354187322,-1.216599026,-0.714608533,-1.264463315,-0.365207421,1.067387581
3.040540093,-0.24232377,-0.320918535,0.452524588,0.928167384,1.621754141,0.726358359,-0.066602645,0.045948221,0.228272161,0.564375348
-7.67232279,-0.933230098,-0.661322228,-0.278946001,-0.659800482,-0.706344312,-1.609965094,0.373474573,-1.460075803,-2.151468414,-0.395840348
9.093358754,0.727713875,1.621110978,2.644006564,1.287245166,-0.604306204,-0.231679571,-0.825962959,0.179384785,0.23811214,0.801529876
-0.774947858,-0.805538108,-0.449501706,-0.162659562,-0.640845125,-1.693172337,0.983961987,2.349017408,0.09742414,-0.912054587,0.658079081
12.92336017,2.236571366,2.639425127,0.788285762,0.323664543,0.268966955,0.57762311,-0.020872596,0.92845712,0.315226251,-1.131835855
7.016034815,1.276895807,0.64897633,1.375770562,1.702987264,-0.047203012,0.479026504,0.907200474,-1.547867773,0.104137902,-0.088833019
-2.965269706,-0.163666417,-0.509967695,1.979850225,1.52162889,-3.670378029,-0.342715641,-1.514273429,-0.421819685,0.235898092,0.73892779
-2.92539604,-1.163754832,-1.212571275,-0.324650876,-0.024651986,-0.19912852,0.905869912,-0.413974103,-0.144476298,-1.196462418,-0.345280755
2.348389659,-0.912562389,-0.997221133,1.593664288,1.865624705,0.527953986,-0.345276019,-0.770542567,0.635933877,0.748017429,1.473280566
0.222636052,-0.913545583,-0.818273774,0.135041997,0.127745446,1.247500161,0.75882193,-0.301664714,0.842723814,0.383587198,-0.187288627
-6.102550543,-1.565554788,-2.101547242,1.301627166,0.771899814,-1.361523304,-0.130315739,-1.037237494,-0.233013575,-0.08373689,1.982306054
1.695758846,0.92014179,0.880350156,1.632981389,1.888138062,-1.378402966,-1.267881658,-0.514049167,-1.83910674,-1.20137697,-0.480697781
-0.146169458,0.274405753,0.125278222,-0.38423997,-0.71475331,1.14576223,0.835606134,-1.337495924,-0.931457329,1.244070065,-0.754586983
-8.164380355,-1.47444705,-0.965370145,0.512292206,0.302019579,-3.092438779,0.273312044,-0.09919023,-0.222669019,-0.264783698,0.088896035
5.670277179,0.415437497,0.478604503,1.236397211,1.063445933,-0.976173578,-0.047719278,-0.254782057,0.809104552,0.874630864,1.122067571
9.793461994,1.749803897,1.758053749,0.631407424,0.485546363,0.782282546,0.675313631,-1.022538182,0.588513797,1.341470039,1.5975044
3.847355573,-0.63472102,-0.844558461,0.942284774,0.64709574,-0.350469428,1.946927684,1.57088773,-0.430170268,-1.936200172,1.563285832
-0.310514681,-0.257162129,-0.173718695,-0.015946356,0.122007531,0.171265247,-0.310992846,0.285540004,-0.297022624,-0.623299292,0.569022554
-0.74745612,-1.846264188,-1.504111979,-0.024816788,0.138799489,-0.417285765,0.8062646,2.117480797,1.413542538,0.232935646,-0.271966274
-13.80052483,-2.338610824,-2.527640231,-1.999178185,-0.69720365,-0.718474271,0.002604428,1.758044738,-1.938877783,1.978010768,-0.961633576
4.920935838,2.247372219,2.030668148,-1.340439981,-0.167539393,0.41015462,-2.001563635,1.37719798,-0.446619817,0.756446212,0.431147879
