X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,y
-0.121523141,1.714420095,2.392514037,1.396981511,-0.617526155,0.248380314,-0.611907283,-0.263927644,-0.514689935,0.54337993,0.327050792,1.082952624,2.435505605
-2.150575334,-0.284635995,-0.656953904,0.301481444,0.633165477,-0.93282334,-1.926254333,0.668644742,0.942871486,0.137931121,0.320410832,0.609300822,-3.595452662
-1.26726164,-0.317408368,0.364917965,-1.134282732,0.641355492,1.725862392,1.54706325,1.485663521,0.011974369,-0.330296347,-1.524798613,-0.511020545,-0.26674904
-0.978790307,-0.266300396,1.068164839,0.777001314,0.317179916,0.461761853,0.751386455,-0.125782193,0.581358444,-0.912053322,1.067812879,0.2468415,2.247745428
0.214304595,1.02061196,0.075315328,1.011073328,-1.197270431,-0.228424945,0.524462516,-0.120507747,-0.843830438,-0.422531504,0.784320686,-0.412909053,0.538761363
-0.865544047,-1.239568628,1.113694182,0.886184897,0.786938769,-0.480672513,-1.115139665,-0.435984938,-0.718631208,0.415079764,0.416567218,2.060937205,2.283960192
-0.04532719,-1.24455347,0.110914396,-1.42705066,-1.547052517,-0.099958486,-0.363459777,-0.270419029,-0.29636358,0.109258473,-0.671387538,0.078888759,3.282012271
-1.156707736,-0.373736513,0.30582854,-0.00892505,1.87650707,-0.073501003,0.224043639,0.188445973,-1.72499653,1.479375895,-0.057866825,1.638835054,3.243184825
0.11833505,-1.528948178,-0.279537223,0.132149594,0.885929764,0.162513812,0.144282437,-0.244902702,-0.061458525,1.981510596,-0.249915282,-0.772695722,3.945699599
0.055098787,-0.610641,-1.670783717,-0.468735968,-0.107865858,-0.047036148,-1.253561371,1.00119332,-1.128264217,0.0192405,2.030836101,-0.756572022,0.123467468
3.098741946,2.096461972,0.068101741,-0.72567032,1.375649478,1.642416241,0.393247384,-1.045109729,-0.949972915,1.561433987,-0.305438951,1.385690099,4.033805321
-1.046455314,-0.000583627,0.286447524,-0.874688063,1.691271297,-0.702373249,0.664266309,-1.0216819,-0.681525337,-1.217723723,-0.97417199,0.651381271,2.472531723
-0.457786769,-0.347934128,0.275124748,0.539347108,-0.925834906,0.320866593,-0.710340899,1.366304282,-0.169077289,0.308989657,-0.278341815,-0.212587504,1.427509846
-0.12018166,-0.084407283,-0.382395874,0.816325116,0.21539986,0.744703035,-0.336288526,0.293238873,0.659039678,-0.145431675,-1.058771669,-0.210308089,-0.362715026
0.650007878,-1.414537896,1.004728461,-0.922211904,-0.556334278,-0.326097353,0.735810765,-0.325842698,-0.387149165,-0.255632548,0.036587954,0.100589895,7.31142142
1.291473303,2.265563826,-0.099355504,1.178273588,0.92099742,1.179852775,-0.568084013,0.749217785,1.410636608,-0.168168065,-0.388928423,0.397736826,2.002953505
0.885625478,-2.088052802,1.195350376,-2.65189644,-0.42362548,-1.086330714,-0.377504754,0.325003176,-1.441653133,0.914706957,-0.293955675,0.014009614,6.221467183
0.642157282,-0.562234834,-0.274492511,-1.047383227,0.266533895,0.508198215,0.603942689,0.343912119,0.318022718,-0.011266549,0.127801537,-0.119381749,1.832826051
0.038511083,-0.951842721,1.462845484,0.192401975,1.976552596,0.881218262,1.265408271,0.443763171,-0.148967702,-0.125644718,-0.800557088,-0.181692162,5.733548603
2.633079047,-0.404274453,-1.284390739,0.026192703,0.335932032,-0.284178886,1.611817077,-0.242173756,-0.643359164,0.764144138,-0.146243212,1.434646708,5.944559481
-1.00223717,2.071412764,0.283247769,-0.210151705,0.61279191,-0.173943507,0.199890423,2.016943184,-0.332978251,-0.382407623,-0.396794493,-0.072338819,-3.557595351
-1.640633137,0.639837081,-1.785450316,-0.021744366,0.73836337,-0.760392009,-0.427341683,0.53182992,0.128634713,0.406173825,-0.408615959,-0.505629676,-2.379863625
-0.22344478,1.078795881,-0.215779498,0.634535423,0.498839669,0.247237583,-0.357761644,0.636127279,-0.554827566,0.172356376,2.487559565,-1.610448457,2.433163119
-0.889953169,-1.612262658,-0.589320389,-2.032461337,-0.112596546,-1.018353174,1.457182237,-0.778967226,-1.151506515,-1.208406386,1.913195359,-0.585178484,4.983067807
-1.35291746,-1.519891253,-0.145691306,-1.512205979,-0.662820364,0.789891921,-0.02219245,-0.921171637,1.084611025,-0.794059815,-0.802213942,0.747940036,2.254317301
-1.382692876,0.562082127,-1.002970485,1.664102166,-1.091444419,0.828785069,-0.107966978,-0.283221628,-0.063527166,0.523720648,1.069515539,-0.339159601,-0.487808425
-1.430886487,-0.310116351,-0.687195116,-0.919605202,0.658499975,-0.502605569,-0.623778365,1.834789197,-0.86515016,0.346356122,1.189899683,-0.355789715,1.253890087
-1.171284477,-2.582223787,-1.389581157,0.673659709,2.499553238,-1.340533683,-0.966839819,0.298224831,0.998508192,-2.142131973,0.740969522,0.768905043,-0.707821734
-1.533476769,1.041254001,0.748109579,-0.888572477,0.550199839,-0.185152493,1.099259559,-1.329070085,0.040259296,-0.443890356,0.726553204,-0.159182965,0.151391258
-0.00013646,0.032483423,-0.518403066,-0.197761055,0.002253272,-2.055533782,-1.591075006,-0.222255961,-1.526170021,1.751345172,1.124367511,-0.82772323,2.026206822
-0.45437228,-0.380719056,-0.081284318,0.807657815,-1.39276752,0.126279482,0.843706203,0.106095777,-1.041838694,-0.046034402,-1.024283523,-0.688371049,3.724368415
-0.990221502,-0.718383159,3.126815457,-0.094436231,-0.645375418,-0.339655016,0.137448588,-2.240699421,0.347428425,-0.664762642,-1.453062391,0.380619375,3.360326294
-0.638431665,0.560009091,-2.202314663,-0.349651191,1.973017886,1.139492662,0.341438784,-2.212326648,1.056874774,0.832354161,-0.230187079,-0.180048968,-1.531173422
-0.86437965,1.265566824,0.3107808,-1.979609094,1.216300517,-2.150631572,-0.667107231,-0.394657633,-0.525646526,1.346759958,-1.300056425,1.312817355,-0.534825446
0.764394405,0.833412153,0.217317683,-0.123084138,-0.042368961,0.773484113,0.550129972,-0.592011781,-0.045951593,0.56996631,-0.494513398,0.105855825,4.043167937
0.057230549,0.398158226,-1.863541972,-0.819772422,-1.304652417,0.926965771,0.901747956,-0.41776156,-1.998316771,-0.393944601,-1.522235585,1.161913113,0.608956106
