X1,X2,X3,X4,X5,X6,y_A,y_B
-0.950939974,0.308190986,-1.491547686,-0.264970616,-0.354700728,-0.676578006,0.762049507,-4.660198417
0.268787004,0.901740955,-0.267747919,1.451311459,-2.720151906,-0.471002695,6.108544578,-3.677440669
-1.321957919,0.055450468,-1.466435195,1.002859632,0.171262967,1.008735196,3.22104295,-2.274466323
1.359892053,0.903653588,0.723889158,0.491208047,0.506666576,-1.111633577,6.392480978,-2.025719277
-0.102908843,0.402797635,-1.063841344,-0.827707697,-0.685011189,-0.867462871,3.417891561,-2.793738216
-0.283242346,-0.426107691,-1.504276385,-0.174600739,1.289629457,-0.397418901,1.435877959,-3.359289804
-2.159788635,-1.79787024,-1.502061938,-2.489770669,0.052379448,-0.282688622,1.079438558,-4.334953762
-0.489952315,-0.587195632,-1.528062695,-0.534075746,0.388483937,-0.048653875,2.703066151,-2.201841862
1.232122684,0.260338435,0.279328018,0.573470307,0.097995692,-1.270442424,6.053449779,-0.996058664
-1.160706281,-1.009786437,-1.830931427,-0.481099255,0.109989698,-1.05034596,1.923800217,-3.192595341
-0.626561605,0.666833379,0.352623407,0.849439057,-1.261358806,-1.167910622,4.063730304,1.330385336
-1.006342742,0.884206817,-0.426264979,-0.28213292,-1.267885136,1.845928299,3.477489259,-3.107686001
1.560580962,0.494736776,0.087057904,-1.220103781,-1.977904156,-0.357240665,5.906887026,-0.827294654
0.363051783,-2.48050553,-2.02982979,-0.468425551,-0.178264401,0.467277359,5.977582746,-4.038664934
-1.618133857,0.54781539,-1.627556852,-0.494560992,-0.509306158,-0.824200645,1.75129883,-3.24951425
0.643452154,-0.497896589,0.218376055,0.368697136,-0.190937598,0.054933959,6.510803949,0.161625846
1.084373913,0.145656469,1.221961565,1.392968345,0.295604831,0.057131214,8.250335835,1.430194883
-0.771526595,-0.914799017,1.350116432,-0.265239751,-0.71828023,0.886541616,2.568232811,-3.180972684
-0.746491622,2.163857746,-0.954012725,0.773944922,-0.391252031,-0.447167827,2.054210392,-1.452887135
0.475689931,-1.563879029,-0.233887664,-1.273045544,1.553617991,-0.188310991,4.371694614,-0.110485725
-1.025629504,-1.913303657,-0.32694925,-0.446247059,1.428358694,-1.889667459,6.992776074,1.82401678
-1.543439661,-0.064276254,-2.098559301,0.308188912,-0.443686407,0.241591031,2.108141019,-3.75276632
0.559105255,1.736596185,1.12659695,-0.460859036,0.133823321,1.588547153,3.775518041,-0.75560707
2.097577126,0.009095529,-0.223129332,0.160614774,1.358323792,-0.329728798,8.168996393,-1.333565796
0.69929344,-1.377041994,0.114711727,0.626924924,-0.170143093,1.233454575,4.618233881,-2.383353168
0.279966226,-0.055676233,0.451056729,1.523961082,-0.149421722,-1.238515273,5.173923184,2.406675173
-0.658096724,-1.921696424,-0.422004427,-1.404863096,0.498304759,1.853392108,1.135748613,-4.639185592
0.160508332,-0.577561376,-0.319333864,0.882408779,-1.691629545,-0.17039422,5.733096306,-4.354864102
0.561631813,-0.936044456,0.588278691,2.16803425,-0.849199937,-0.534970379,8.153618716,-2.391026879
0.055524491,0.362612268,1.421574383,1.544338099,0.940297948,-0.323671749,3.673754765,1.497951786
-1.207866757,1.012753377,-0.410249411,-0.231310642,0.357586747,0.271479206,1.745254333,-0.299984376
1.294481278,1.063308729,0.544659783,-1.002100945,-0.651861352,-0.080447389,4.065088989,-0.412885292
-0.788318318,0.03973085,-1.488707498,-0.428612899,-1.385459327,0.786091566,2.815647103,-5.769210127
-1.85523217,0.266265624,0.46911684,1.249861427,-0.038011198,-0.680482078,1.195262581,1.010056988
0.829702781,0.264455285,-1.661872935,0.195081235,0.505667014,1.109009671,4.499068635,-2.478356233
0.506329585,-0.457673803,0.265130188,1.253085655,1.352214987,-0.746698574,5.851599383,2.045004498
-1.940021865,-0.279533691,0.847877392,-0.519897009,-1.653414693,1.499051271,0.758113024,-5.852561399
0.08237249,0.004951496,-0.165998061,2.186126307,-0.08791807,0.354880735,6.151582099,0.129668212
0.112345294,0.57033183,2.11487433,-0.477922785,-0.366918763,0.511815134,3.195457632,1.072879458
-1.403883431,-0.042472681,-1.885781064,-0.253769018,-1.469424989,-0.477562206,2.363886952,-3.113128876
-0.457632251,-0.631013098,0.60143381,-1.444032575,-1.14026683,0.619353604,1.260050064,-1.316562063
1.273586792,0.782132235,-0.698599277,1.236024961,0.47647613,-2.133230214,4.818750518,1.567534942
-0.127377736,-0.594344504,0.35299833,-0.680011977,-1.720373308,0.119273013,5.408538395,-2.513445204
-0.646997545,-1.384619692,0.068405587,-0.225516028,-0.254710237,0.848766374,3.527513581,-0.812293885
0.988463633,2.511485274,0.861695388,0.313128806,-0.760228137,1.051022019,5.459868124,0.942351885
0.944142945,0.000382184,-0.725809068,-0.098712924,-0.325667393,1.43465149,3.995942521,-3.844469121
0.324721338,-1.629894192,1.072827017,1.269224224,-1.906798934,-0.285799552,7.916135347,-1.397192504
-0.330803165,-0.357167897,0.693405294,-0.043308855,2.30225447,-1.910387743,3.232162849,2.743249985
-0.434943758,1.753414621,2.01313248,0.990690172,1.606708251,-0.35275676,4.286605061,3.132673098
-1.275867431,-1.128383824,1.025355687,1.284018781,0.682955814,0.561165529,4.646184179,1.805058085
-0.699611314,0.677562065,-1.181948523,2.411583978,-0.354774906,-1.238643768,4.216159074,-3.300254521
-1.472730426,0.76049765,-0.597905953,-0.056677948,-0.760216999,0.539869161,-1.143852116,-2.559672852
0.793470071,-1.241419298,0.905363218,0.11472855,0.258964792,-1.093397294,5.543642047,2.301800903
0.029825697,-0.41751538,0.702192192,-0.58827352,-0.705238807,-0.555315447,5.964424426,-1.985579395
-0.545797753,1.42949928,0.582847673,-1.158269943,0.883859821,0.708634843,1.660260009,1.254645064
-0.568000531,0.420047335,1.257233943,-1.379425542,-0.355609032,0.711523437,1.608597697,1.88801556
-0.864797266,0.196379098,0.119877386,-1.980151038,0.327552888,-0.366243308,0.782776202,1.27240126
-0.241683438,-0.550641296,-1.048659845,0.973612594,-0.682310805,-0.099399362,5.123493129,-2.852027434
0.957094333,-1.004251219,-0.600576227,1.049184275,0.667180268,-0.99387803,5.451760542,0.790139434
-1.073864042,-1.142115279,-1.036717804,-0.496420922,-0.492416005,0.740943713,2.535731417,-2.949875864
-0.499247419,-0.94919163,-1.428154752,-0.05884431,-0.662512637,-0.778848297,3.308190466,-3.989282191
-0.70480161,-1.671513778,-1.1428742,0.411163537,-0.075527365,-0.788925127,3.380345498,-0.85672387
0.118281246,0.18863197,-0.106595669,-2.851928896,0.250196896,-1.060063737,1.474459607,-0.509669694
-0.687630499,-0.176291986,-1.023451968,0.51865841,1.041688042,0.278285633,4.029309025,-0.518525335
-1.62645013,-1.195220248,1.077775653,0.009483183,0.708527481,-0.699110067,-0.588055265,2.400688968
-0.887061157,0.795920766,-0.966476889,0.096774115,0.503742466,-1.237206538,3.851578805,-3.503275202
1.96644288,1.238500002,-1.383574392,2.162980439,-0.352663087,-0.385497919,7.742925398,-3.054234528
1.790973203,0.546866859,-1.108652351,-0.099493401,0.522750822,-0.3293978,3.993380669,-1.784117519
0.76448273,0.704641217,-0.033640607,-0.013273391,-1.625071812,-0.21804095,3.587067903,-4.104110208
1.474391337,-0.074816344,0.695844297,2.086950793,1.520900399,-0.59704563,8.876488053,1.645842922
-0.660484044,1.044340829,0.33173657,0.454825639,-0.258698457,-1.228597632,3.487830733,0.90366602
0.157767428,-0.403085271,-0.143954607,0.437933333,-2.15071482,-0.99309738,6.100116656,-2.325666825
-0.597700708,-0.418346064,-2.75137152,-0.824982093,0.629796057,-0.460213661,2.579082995,-4.5750402
